RPC,Source,Description,Lithology,Vs [km/s],VpVs ratio,Rho [kg/m³]
101495,RPC,DSDP S.288 346.0M,limestone,1.0118,2.2341,1848.4356
101496,RPC,DSDP S.288 346.0M,limestone,1.0118,2.298,1894.5643
101497,RPC,DSDP S.288 346.5M,limestone,0.958,2.3144,1836.6113
101498,RPC,DSDP S.288 346.5M,limestone,0.9472,2.3976,1880.3584
101499,RPC,DSDP S.288 383 M,limestone,0.6565,2.902,1830.0741
101500,RPC,DSDP S.288 383 M,limestone,0.6565,2.9675,1785.7428
101503,RPC,DSDP S.288 420.0M,limestone,0.8825,2.3662,1804.8099
101504,RPC,DSDP S.288 420.0M,limestone,0.8825,2.4881,1794.6114
101505,RPC,DSDP S.288 420.5M,limestone,1.0764,2.21,1847.4383
101506,RPC,DSDP S.288 420.5M,limestone,1.0764,2.2499,1877.1246
101507,RPC,DSDP S.288 458.0M,limestone,0.8396,2.7178,1859.7668
101508,RPC,DSDP S.288 458.0M,limestone,0.7858,2.767,1870.3092
101509,RPC,DSDP S.288 458.5M,limestone,0.689,2.9057,1882.2918
101510,RPC,DSDP S.288 458.5M,limestone,0.7103,2.849,1912.2643
101511,RPC,DSDP S.288 459.0M,limestone,0.6998,2.9377,1926.2362
101512,RPC,DSDP S.288 459.0M,limestone,0.689,2.9995,1916.2566
101513,RPC,DSDP S.288 459.5M,limestone,0.7103,2.7427,1880.3113
101515,RPC,DSDP S.288 535.0M,limestone,0.5814,3.4436,1829.9832
101516,RPC,DSDP S.288 535.0M,limestone,0.5919,3.3099,1825.1661
101517,RPC,DSDP S.288 535.5M,limestone,0.5381,3.6408,1721.7535
101518,RPC,DSDP S.288 535.5M,limestone,0.5381,3.7006,1773.9318
101527,RPC,DSDP S.288 609 M,limestone,0.6457,2.9009,1882.0653
101528,RPC,DSDP S.288 609 M,limestone,0.6457,3.0005,1876.1917
101533,RPC,DSDP S.288 686 M,limestone,0.5489,3.471,1967.9525
101534,RPC,DSDP S.288 686 M,limestone,0.5597,3.5768,1922.8885
101535,RPC,DSDP S.288 743 M,limestone,1.0656,2.2928,2201.0596
101536,RPC,DSDP S.288 743 M,limestone,1.0548,2.5104,2209.6958
101537,RPC,DSDP S.288 744 M,limestone,1.0764,2.1999,2026.0379
101538,RPC,DSDP S.288 744 M,limestone,1.1194,2.3077,2031.4093
101539,RPC,DSDP S.288 745 M,limestone,1.1194,2.1442,1997.6938
101540,RPC,DSDP S.288 745 M,limestone,1.2917,2.0833,2028.6098
101545,RPC,DSDP S.288 847 M,limestone,1.4423,1.9404,2118.0149
101546,RPC,DSDP S.288 847 M,limestone,1.5285,1.9436,2074.4059
101547,RPC,DSDP S.288 848.0M,limestone,1.4531,1.9408,2120.3624
101548,RPC,DSDP S.288 848.0M,limestone,1.4856,2.0868,2106.7083
101549,RPC,DSDP S.288 848.5M,limestone,1.5069,1.9928,2158.8313
101550,RPC,DSDP S.288 848.5M,limestone,1.5285,2.0421,2114.6567
101551,RPC,DSDP S.288 849.0M,limestone,1.3776,1.969,2126.7259
101552,RPC,DSDP S.288 849.0M,limestone,1.4209,2.0907,2198.8291
101553,RPC,DSDP S.288 849.5M,limestone,1.3776,1.8674,2100.7835
101554,RPC,DSDP S.288 849.5M,limestone,1.3993,2.0924,2155.2265
101555,RPC,DSDP S.288 849.7M,limestone,1.3671,1.8896,2130.1501
101556,RPC,DSDP S.288 849.7M,limestone,1.3671,2.0629,2177.0756
101563,RPC,DSDP S.288 857 M,limestone,1.4747,1.7517,2106
101564,RPC,DSDP S.288 857 M,limestone,1.6145,1.8334,2102.1939
101567,RPC,DSDP S.288 859.5M,limestone,1.7654,1.8779,2321.6369
101573,RPC,DSDP S.288 868.0M,limestone,1.8405,1.7661,2295.8731
101574,RPC,DSDP S.288 868.0M,limestone,1.873,1.9136,2236.6658
101575,RPC,DSDP S.288 868.5M,limestone,1.3993,1.8539,2146.2314
101576,RPC,DSDP S.288 868.5M,limestone,1.4531,2.0075,2140.6272
101577,RPC,DSDP S.288 876 M,limestone,1.3776,2.0002,2156.5144
101578,RPC,DSDP S.288 876 M,limestone,1.4209,2.0302,2081.4263
101579,RPC,DSDP S.288 877 M,limestone,1.7868,1.8013,2266.9144
101580,RPC,DSDP S.288 877 M,limestone,1.873,1.8849,2313.7796
101581,RPC,DSDP S.288 879 M,limestone,1.8835,1.823,2360.7892
101585,RPC,DSDP S.288 914 M,limestone,1.3455,1.9439,2176.3008
101586,RPC,DSDP S.288 914 M,limestone,1.3993,2.2155,2127.8012
101591,RPC,DSDP S.288 971 M,limestone,1.5285,1.9436,2282.4299
101592,RPC,DSDP S.288 971 M,limestone,1.5932,2.0404,2308.8636
